layer,neuron,p_value,effect_size_d,moral_mean,neutral_mean
5,389,2.3213289215376677e-49,0.9953060484910738,-0.018787315,-0.07770708
5,404,1.553134512745537e-56,1.0729039169713246,-0.023821771,-0.07205189
5,418,7.0902158339211424e-43,0.9110386720258541,0.010018627,-0.029944973
5,429,2.5602483120734216e-77,1.2997303511217109,-0.050102923,-0.08582501
5,433,1.168068197063795e-75,1.2708224198582845,0.029933793,-0.0480344
5,473,4.371244438697607e-38,0.8645734922305193,-0.046220694,-0.09347644
5,480,2.439053870750776e-90,1.4305846924450862,-0.011587425,-0.06773464
5,483,2.546045054857245e-59,1.0998480196034937,0.018392658,-0.031226762
5,517,8.337669365553717e-102,1.5988768469790817,-0.00014682865,-0.09169992
5,539,1.3168489145075206e-36,0.8410641570393376,-0.045208063,-0.07209985
5,568,5.170376145675846e-43,0.9134658892634007,-0.053515762,-0.070272595
5,571,2.274883772027337e-35,0.8167889087313482,0.08860344,0.040800713
5,582,1.812737227062299e-39,0.8724130839530906,-0.011597384,-0.056874312
5,592,1.8800116105345706e-40,0.8968442252491939,-0.019638272,-0.044327997
5,597,6.839693915272659e-64,1.1484861553703727,-0.03463708,-0.0665226
5,611,3.83440319002363e-78,1.2964121442489922,-0.03393934,-0.08546922
5,616,4.635598746731061e-50,0.9972313697163273,0.055436555,-0.010882142
5,617,2.1208765157979688e-52,1.0294236528916652,-0.007985196,-0.059611697
5,642,1.2581310187414197e-112,1.639489475027173,0.029645303,-0.05912234
5,654,5.081068694606633e-38,0.8527259257233808,1.1201477,1.0393667
5,681,6.510978034151669e-35,0.81559871959442,-0.049112312,-0.08839578
5,693,8.91883132899333e-64,1.149723573810353,-0.07398666,-0.08768028
5,703,1.7668584770295784e-46,0.9550270988360035,-0.00064322376,-0.035683196
5,717,1.3316529293226694e-88,1.430597670745676,-0.008121159,-0.07445404
5,724,2.87205227645195e-45,0.95755542557249,-0.0022776204,-0.055505853
5,806,6.075763061970336e-67,1.1855088338077033,-0.059304483,-0.09972186
5,814,4.517699445845261e-47,0.9675874729433243,0.029214248,-0.036498256
5,826,5.498059914790972e-43,0.914916340314209,-0.07968604,-0.10090388
5,842,1.8856201813556717e-50,1.033391477709754,0.0507005,-0.0970845
5,848,1.207826247782844e-40,0.8841829241069538,0.08948161,0.01703058
5,883,8.075056905677752e-84,1.385240498646966,-0.040492155,-0.08687612
5,935,1.9296612768418037e-48,0.9774647888874546,0.24511914,0.17699488
5,953,1.7362992173693762e-35,0.8179848618091319,-0.02022841,-0.049159486
5,1039,2.670850902036754e-94,1.458510588952919,0.032099914,-0.04267327
5,1058,7.416170860666618e-37,0.8365808566433133,0.07724531,0.038223192
5,1080,1.0287732443970394e-46,0.9570110927902963,0.02428502,-0.010416695
5,1081,3.457092917982229e-42,0.9029716769981698,-0.026374217,-0.06636583
5,1106,8.252125706928707e-60,1.1260929855723667,0.017354565,-0.056895044
5,1114,1.8485254180041193e-59,1.1093273604147875,-0.03580137,-0.09335997
5,1120,7.270000271182734e-36,0.8419813836191724,-0.05785748,-0.09583207
5,1131,3.8116087833341034e-44,0.9405619350152046,-0.047300592,-0.08367159
5,1159,8.772772919534317e-43,0.9264317382674264,-0.059574362,-0.10185741
5,1173,3.2881794428167615e-48,0.9852158268292084,-0.0008019772,-0.10298189
5,1189,1.910009673145827e-39,0.8746007298356603,-0.033746522,-0.045601267
5,1205,6.149690822699592e-39,0.8636134534077842,-0.03165482,-0.07145794
5,1212,1.418094356965969e-48,0.9787252320514732,0.012090354,-0.023647632
5,1224,1.6142678681563385e-61,1.1263614884558633,-0.037273742,-0.08849201
5,1240,7.450254952416346e-103,1.5387619925383218,0.14686434,0.06484022
5,1358,3.004907127520671e-34,0.802577374274411,-0.012239323,-0.06516717
5,1359,7.548607319460805e-59,1.0961484510605581,-0.033863794,-0.09249092
5,1385,1.372530714562896e-50,1.0038231692629063,-0.04393651,-0.08423102
5,1400,4.2439840100008335e-40,0.877697055682402,-0.03569608,-0.06957564
5,1407,1.7396719305617364e-56,1.0702932873475701,0.0021650633,-0.037419233
5,1413,8.87879600150681e-37,0.8351296221581043,0.07351776,0.035483573
5,1496,1.6089619855381242e-50,1.0109949678499537,-0.018770719,-0.075870134
5,1509,1.3758656323311031e-34,0.809076330919689,0.0024765572,-0.04962197
5,1513,3.84291534111788e-80,1.315946629393793,0.15467276,0.07635243
5,1561,2.574086276645043e-38,0.8545030676449249,0.07184476,0.028742721
5,1564,8.875306598459952e-35,0.808807577481488,0.09552593,0.06363353
5,1574,3.2531295909204873e-45,0.9420611818525082,-0.027009754,-0.07357379
5,1582,4.4330317381855734e-95,1.4694979772760794,0.0012766805,-0.072073735
5,1601,2.1797997857338224e-56,1.1273355289334748,0.01164277,-0.06937797
5,1632,6.279200488536446e-65,1.1631111087080932,0.019516136,-0.047885507
5,1649,4.945227915237533e-77,1.2927193715575012,-0.017397394,-0.06855713
5,1651,1.5865042887979737e-39,0.87417936798673,-0.01058106,-0.05883036
5,1663,9.445556417235371e-36,0.8214713246707738,0.016021088,-0.018620942
5,1692,3.340767104969802e-63,1.1437511521204395,0.04503903,-0.0022115821
5,1705,2.935718766995495e-45,0.9399522031574318,-0.02394575,-0.08240699
5,1719,4.9670726532152844e-57,1.086406549438911,-0.044869483,-0.09284887
5,1720,8.942763609796712e-37,0.8348918654807037,0.029140228,-0.030472998
5,1748,7.55383411082891e-74,1.2537812859672233,-0.022356048,-0.06348075
5,1764,4.664171356139277e-54,1.0419612905688922,0.015314376,-0.06405037
5,1785,3.2787495906465555e-43,0.9163255275413055,-0.064065374,-0.09919762
5,1791,7.292749816891655e-51,1.0061681874947985,0.101018704,0.015702795
5,1795,1.1606982749482762e-63,1.158015205550285,-0.039218064,-0.068271585
5,1829,7.94309660409796e-44,0.926771150442318,0.13185132,0.0816372
5,1852,8.162706505108567e-51,1.0052606005477538,0.09277589,0.026040977
5,1866,2.5011046025788946e-42,0.9065779868130474,-0.012906723,-0.031409334
5,1873,1.50879821112846e-36,0.8321048500931381,-0.058900047,-0.07658771
5,1913,9.703807331510801e-74,1.287763125001104,-0.0015330663,-0.07812228
5,1914,2.002151238890875e-59,1.100455575871325,0.10414935,0.033275858
5,1920,1.8077741530726024e-96,1.5428190580520633,-0.045247186,-0.11080887
